,count
fruit,3975
green,2911
floral,2740
sweet,2155
herb,1747
wood,1404
fat,1024
spice,882
rose,858
oil,831
citrus,803
fresh,759
wax,751
balsamic,732
musk,609
earthy,589
nut,586
sulfur,564
apple,545
ether,533
mint,525
tropical,463
wine,425
caramel,424
pineapple,394
roast,389
meat,383
camphor,383
vegetable,359
honey,301
pungent,295
cream,288
berry,265
phenol,263
onion,262
leaf,256
pear,255
jasmine,244
cheese,243
aldehyde,237
animal,236
banana,230
buttery,227
powdery,221
burnt,213
vanilla,200
amber,198
orange,197
melon,195
pine,194
metal,191
garlic,188
dry,188
tobacco,182
mushroom,175
almond,174
anise,169
peach,169
fermented,167
medicine,162
coconut,158
cocoa,150
coffee,147
savory,144
gasoline,144
aromatic,143
grape,141
alliaceous,140
warm,139
dairy,139
apricot,134
alcohol,127
violet,126
grass,124
cognac,124
rum,122
fish,120
hay,120
cherry,117
orris,116
sharp,115
smoky,114
geranium,114
hyacinth,113
lily,112
sour,112
plum,108
cinnamon,104
grapefruit,103
milk,99
lemon,99
clean,98
cucumber,93
leather,90
tea,87
cooling,84
coumarin,84
potato,79
acid,79
chocolate,78
ripe,76
muguet,75
bread,75
strawberry,75
cabbage,72
brandy,71
lavender,69
solvent,68
natural,68
hazelnut,67
blackcurrant,63
sandalwood,61
peel,61
soap,60
chicken,59
orange-blossom,58
bland,58
characteristic,58
cortex,57
mild,56
popcorn,55
cooked,55
terpentine,54
gourmand,54
lactone,52
ozone,52
ketonic,50
ester,50
raspberry,50
peppery,49
menthol,49
clove,49
brown,48
nerolii,47
beef,47
lilac,46
marine,46
weedy,45
pleasant,45
root,45
tomato,44
chamomile,44
bitter,44
moss,43
narcissus,42
celery,42
radish,42
vetiver,41
brothy,41
licorice,41
bergamot,41
sweat,41
cedar,41
horseradish,41
ammonia,41
malt,39
plastic,39
rancid,36
hawthorn,36
gardenia,36
chemical,36
juicy,35
patchouli,34
jam,32
ylang,32
watery,31
mimosa,31
tarry,31
lime,30
galbanum,30
